side,status,evidence_rows,item_count,share_within_side
Russia,abandoned,448,457,0.019887
Russia,captured,2492,2561,0.111445
Russia,damaged,930,955,0.041558
Russia,damaged+abandoned,721,734,0.031941
Russia,damaged+captured,224,230,0.010009
Russia,destroyed,17622,17993,0.782985
Russia,destroyed+abandoned,23,23,0.001001
Russia,destroyed+captured,25,25,0.001088
Russia,destroyed+damaged+abandoned,2,2,8.7e-05
Ukraine,abandoned,207,210,0.018827
Ukraine,captured,1022,1044,0.093599
Ukraine,damaged,658,665,0.05962
Ukraine,damaged+abandoned,448,451,0.040434
Ukraine,damaged+captured,115,116,0.0104
Ukraine,destroyed,8567,8654,0.775865
Ukraine,destroyed+abandoned,2,2,0.000179
Ukraine,destroyed+captured,11,12,0.001076
